,Agency_Text,Sex_Code_Text,Ethnic_Code_Text,Language,LegalStatus,CustodyStatus,MaritalStatus,DecileScore,Age
11852,10,1,100,1,10,10,10000,0,37
31429,1,1,1,1,1,1,1,0,42
11467,1,1,10,1,1,1,1,2,28
8809,10,10,10,1,10,10,1,0,30
22264,1,1,10,1,1,1,10,2,23
10546,1,1,1,1,1,1,1,0,21
43407,1,1,10,1,1,1,1,2,28
52663,10,1,100,1,1000,10,10,0,31
32943,10,10,10,1,10,10,1,1,23
52685,1,1,10,1,1,1,1,0,47
16517,10,10,1,1,10,10,1000,0,35
41140,1,1,10,1,10,10,1,0,42
9460,1,1,100,1,1,1,1,0,50
16149,10,1,10,1,10,10,1,1,23
59366,1,1,10,1,1,1,1,1,28
10548,1,1,10,1,1,1,10000,0,47
52430,10,1,1,1,10,10,1,0,29
55735,1,10,10,1,1,1,1,2,19
42031,1,1,10,1,1,1,1,0,40
58802,1,1,100,1,1,1,1,0,45
48337,10,10,10,1,1000,10,1,0,26
6008,10,1,100,1,10,10,1,2,32
49879,1,10,1,1,100,10,1,0,54
28718,1,1,1,1,10,10,1000,1,61
6790,10,1,100,1,1000,10,10,0,32
36715,1,1,10,1,1,1,100,1,31
22687,1,10,1,1,1,1,1,0,39
18609,10,10,10,1,10,10,1,0,30
51721,1,1,10,1,10,10,1,0,25
282,1,1,1,1,1,1,1,1,38
57277,1,1,10,1,10,10,1,2,24
42225,1,10,10,1,1,100,1,0,24
42701,10,1,1,1,10,10,1,0,23
52143,1,10,1,1,10,10,1000,0,40
35008,1,1,100,1,10,10,1000,0,43
45384,1,1,1,1,1,1,1,1,20
45509,10,1,1,1,1,1,1,0,36
53880,100,1,10,1,1,1,1,1,23
40364,1,1,1,1,1,1,1,0,54
21075,10,1,100,1,10,10,1,0,22
55862,1,1,10,1,1,1,1000,1,38
3934,1,1,10,1,1,1,1,1,28
12189,1,1,1,1,1,1,1,2,26
38366,1,1,10,1,1,1,10,0,25
35702,1,1,10,1,1,1,1,2,50
15553,10,1,10,1,1,100,1,2,30
2003,1,1,10,1,1,1,1,0,33
19962,1,10,1000,1,1,1,10,0,43
5836,1,1,10,1,1,1,1,1,24
37271,10,1,1,1,10,10,1,2,41
6193,1,1,1,1,1,1,1000,0,55
40411,1,1,1,1,10,10,1000,0,65
44013,1,1,100,1,10,10,10000,0,26
41602,1,10,10,1,1,1,1,0,36
4528,10,10,100,1,1000,10,10000,0,47
10405,1,1,1,1,1,1,1000,2,28
39049,1,10,10,1,1,1,1,0,31
17846,10,1,100,1,1,1,10,0,28
43634,1,1,10,1,1,100,1,1,43
47448,1,10,10,1,1,1,1,0,29
58696,1,10,1,1,1,1,10000,1,36
6291,1,1,100,1,1,1,10,0,32
4618,1,1,1,1,1,1,1,0,36
54508,1,1,1,1,1,1,10,0,27
27323,10,10,100,1,1000,10,1,0,39
36524,10,1,10,1,10,10,10,1,25
9262,1,1,10,1,1,1,1,1,39
46581,1,10,10,1,1,1,1,0,46
13353,1,1,10,1,1,1,1,0,23
47852,1,1,10,1,1,1,1,0,38
11323,1,1,10,1,1,1,1,2,21
48086,1,1,10,1,1000,10,1,1,45
34992,10,1,1,1,1000,10,1,0,29
4999,1,1,100,1,1,100,1,0,19
14772,10,1,100,1,10,10,1,0,27
28016,100,1,10,1,1,1,1,1,26
12912,10,1,10,1,1,1,1,2,22
29582,1,1,10,1,1,1,1,0,41
37914,10,1,1000,1,10,10,1000,0,48
14461,1,1,10,1,10,10,1,0,23
21498,1,1,10,1,1,100,1,0,50
14334,1,1,1000,1,1,1,1,1,27
40854,10,1,1,1,10,10,1,0,25
30117,1,1,1000,1,1,1,100,0,29
21195,1,1,10,1,1,100,1,2,18
46517,1,1,1,1,1,1,10,0,39
28393,1,10,1,1,10,10,1,0,53
8886,1,1,10,1,1,1,1,1,41
44498,10,10,10000,1,10,10,1,0,28
25536,1,1,1,1,1,1,1,0,33
24742,1,10,10,1,1,1,1,1,20
34951,10,1,100,1,10,10,1,1,32
33011,1,1,10,1,10,10,1,2,31
4454,1,1,100,1,1,1,1,0,19
48687,1,1,10,1,1,1,1,1,22
30037,10,1,10,1,1000,10,1,0,32
47351,1,10,100,1,1,100,100000,0,47
21902,1,1,10,1,1,100,10,1,43
9737,10,1,1,1,100,10,10,0,44
3385,1,1,1,1,1,1,1,0,54
5625,1,1,1,1,1,1,1,0,36
31835,1,1,10,1,1,1,1,0,32
31785,1,10,1,1,1,1,1,0,50
57914,10,1,1,1,10,10,1,0,53
1135,1,1,10,1,1,1,1,0,84
46560,1,1,10,1,10,10,1,1,27
16079,10,1,100,1,10,10,1,0,24
49268,1,10,10,1,1,1,10,1,37
1193,1,1,10,1,1,1,10,2,30
56420,1,1,10,1,1,1,1,0,23
59289,1,1,1,1,1,1,1000,0,54
31084,10,1,1,1,10,10,1,1,38
3194,1,1,100,1,1,1,1000,0,40
15191,1,1,10,1,1,1,1,1,44
29212,1,1,1,1,1,1,1,0,47
51176,1,1,10,1,1,100,1,2,56
34273,1,1,1,1,1,1,1000,0,27
950,10,10,10,1,10,10,1,1,29
11743,1,1,1,1,1000,10,1,2,27
31511,1,1,10,1,1,1,1,0,25
22162,10,1,1,1,10,10,10,1,34
22992,1,1,1000,1,1,1,10,0,54
15266,10,1,100,1,10,10,1,0,26
38007,1,1,10,1,1,1,1,0,38
25194,1,1,10000,1,1,1,10,0,45
53210,1,10,10,1,1,1,1,0,32
31341,1,1,1,1,1,1,100,0,33
20538,1,1,1,1,1,100,1,1,19
51762,10,10,100,1,10,10,1000,0,57
11530,1,1,10,1,1,100,1,2,54
46357,1,1,100,1,1,100,1,1,25
24751,1,1,1,1,1,1,1,0,45
60160,1,10,10,1,1,1,1,0,24
28240,10,1,1,1,100,10,1000,0,44
9934,100,1,10,1,10000,10,1,2,26
22900,1,1,10,1,1,1,1,0,29
36235,1,1,100,1,1,100,1,1,22
51679,1,1,1,1,1,1,10,0,53
2341,1,1,10,1,1,1,1,1,34
36822,10,10,1,1,10,10,100000,0,64
1728,10,10,100,1,1000,10,1,0,23
4035,1,1,100,1,1,1,1000,0,45
36583,1,1,10,1,10,10,1,1,21
46114,1,1,1,1,1,1,10,0,55
36689,1,1,10,1,1,100,1,2,32
36236,1,1,100,1,1,100,1,0,22
51101,1,1,1,1,1,1,1,1,32
48007,1,1,10,1,1,1,1,2,27
1841,1,1,1,1,1,1,1,0,53
32030,1,1,1,1,1,1,1,0,36
8847,10,1,1,1,10,10,1,0,39
8350,1,1,10,1,1,1,1,2,26
9208,1,1,1000,1,1,1,1,0,23
45379,1,1,100,1,1,1,1,0,26
3865,10,1,10,1,10,10,1,1,31
46682,1,10,1,1,1,1,10,0,43
34422,10,1,10,1,10,10,1,0,26
27969,1,1,10,1,10,10,1,1,21
29177,10,1,10,1,10,10,1,0,21
35929,1,1,10,1,1,1,1,0,26
9846,1,1,100,1,1,1,1,1,22
31256,1,1,10,1,1,1,1,0,21
27392,10,1,10,1,10,10,10,1,42
31230,1,1,10,1,1,1,1,0,57
44500,1,1,1,1,1,100,1,0,22
6403,10,1,10,1,100,10,1,2,32
34037,1,1,1,1,1,100,1,0,19
37979,1,10,1,1,1,1,1000,0,42
15125,1,1,10,1,1,1,1,2,46
3994,1,1,1,1,1,1,100,0,35
21941,1,10,1,1,1,1,1,0,36
56762,1,10,1,1,1,1,1,1,54
15670,10,1,10,1,1000,10,1,0,23
2876,1,1,100,1,1,1,1,0,34
27238,10,10,100,1,1000,10,1,0,58
13442,1,1,10,1,1,1,1,1,24
26414,1,1,1,1,1,1,1,0,28
18596,1,10,1000,1,1,1,1,0,21
23948,1,10,100,1,1,100,1,0,38
57788,1,1,100,1,1,1,1,1,31
54740,1,1,1,1,1,100,1,0,32
23608,10,1,10,1,10,10,1,1,19
30890,1,1,10,1,1,1,1,0,21
32937,10,1,10,1,10,10,1,1,21
5851,1,1,10,1,1,100,1,1,18
6856,1,10,10,1,1,1,1,1,21
2619,1,1,10,1,1,1,1,0,31
28656,1,1,1,1,1,1,1,0,27
6354,1,1,1,1,1,1,10,0,22
13607,1,10,10,1,1,1,1,0,38
42936,10,1,1,1,1000,10,1,0,41
31739,1,1,10,1,1,1,10,0,26
51286,10,1,1,1,10,10,1,1,27
20674,1,1,10,1,1,1,1,1,21
46495,1,1,10,1,1,1,1,1,21
2031,1,1,10,1,1,1,10,0,34
19113,1,1,10,1,1,1,1,0,36
16675,1,1,1,1,10,10,1,0,26
23254,10,1,10,1,1000,10,1,2,16
16875,10,1,10,1,10,10,1,0,46
34215,10,1,1,1,10,10,1,0,30
929,1,10,10,1,1,1,1,2,30
3072,1,1,10,1,1,1,1,1,31
45599,10,1,10,1,1,1,1,0,21
30339,1,1,10,1,1,1,10,0,34
35671,1,1,10,1,10,10,1,2,33
11567,10,1,1,1,10,10,1000,1,64
32709,1,1,1,1,1,1,1,1,20
59653,1,1,1,1,1,1,1,2,29
40465,10,10,10,1,10,10,1,2,36
12101,1,1,100,1,1,1,10,0,32
60600,1,1,1,1,1,1,10,0,34
22909,1,1,10,1,1,1,1,1,22
48003,1,10,10,1,1,1,1,2,23
11006,1,1,1,1,1,1,1,0,56
60503,1,1,10,1,1,1,1,1,19
9477,1,1,10,1,1,1,10,1,33
58651,1,1,1,1,1000,10,10000,1,26
40594,1,10,1000,1,1,100,10,0,33
39791,10,1,1,1,10,10,1,0,56
37317,10,1,1,1,10,10,1,0,27
46243,10,1,1,1,10,10,10,0,29
12,1,10,10,1,1,1,1,0,28
60602,1,1,1,1,1,1,10,1,34
37499,10,1,1,1,10,10,1,0,20
59389,1,1,1,1,1,1,1,0,37
31827,1,1,1,1,1,1,10,0,51
37793,1,1,10,1,1,1,1,0,29
3059,1,1,10,1,1,1,10,0,35
15426,10,1,100,1,10,10,1000,0,48
27845,10,1,10000,1,10,10,1,0,21
48879,10,1,1,1,10,10,1,0,30
54895,10,1,10,1,10,10,1,0,30
45435,1,1,1,1,1,1,1,0,24
42730,1,1,100,1,1,1,1,0,22
39474,10,1,100,1,1000,10,10,0,41
35891,1,10,10,1,1,1,1,0,25
8671,1,1,10,1,1,100,1,2,52
4161,1,1,10,1,1,1,100,0,33
20174,1,1,1,1,1,1,10,0,26
51078,1,1,1,1,10,10,1,0,35
44059,10,1,1,1,10,10,1,1,22
13142,1,1,10,1,1,1,10,1,29
8359,1,1,10,1,1,1,1,0,30
41801,10,1,100,1,10,10,10,0,41
57896,1,1,100,1,1,1,1,0,28
55203,10,1,1,1,10,10,1,0,63
40484,1,1,10,1,1,100,1,0,36
6450,1,1,1,1,1,1,1,0,34
40109,1,1,1,1,1,1,1,1,57
55241,10,1,100000000,1,10,10,10,0,57
19907,10,1,1,1,10,10,1000,0,43
55563,1,10,10,1,1,1,1,0,24
1384,1,1,10,1,1,1,1,1,22
1689,10,1,10,1,1000,10,1,0,30
57090,10,1,100,1,1000,10,10,0,33
52171,10,1,1,1,1,1,1,2,24
40931,1,1,10,1,10,10,1,1,31
42912,10,1,10,1,1000,10,1,0,31
33068,1,1,10,1,1,1,1,0,19
9152,1,1,10,1,1,1,1,0,26
52365,1,1,10,1,1,1,1,1,19
23107,1,1,100,1,1,1,10,0,41
26057,1,1,1,1,1,1,1,0,23
4541,1,1,10,1,1,1,1,0,28
55929,1,1,10,1,1,1,1,1,47
19819,1,1,10,1,1,1,1,0,29
22104,1,10,1,1,1,100,1,0,32
17080,10,1,10,1,10,10,1,2,29
13243,1,1,1,1,1,1,1,0,25
48556,1,10,10,1,1,1,1,1,23
44814,1,1,10,1,1,1,1,0,56
38201,10,1,1,1,10,10,1,0,54
7268,1,1,100,1,1,1,10,0,29
3341,1,1,10,1,1,1,1,0,23
55191,1,10,1,1,1,100,1,0,29
30127,1,10,1,1,1,100,1,0,24
48972,10,10,10,1,10,10,1,1,33
28728,10,1,100,1,10,10,1,0,33
46406,1,1,1,1,1,1,1,0,31
50224,10,10,1,1,10,10,1,1,36
13187,10,1,100,1,10,10,1,0,34
42003,10,1,10,1,10,10,10000,1,54
60355,1,1,10,1,1,1,1,0,26
40653,10,1,1,1,10,10,1000,0,53
26468,1,1,10,1,10,10,1,0,35
29021,1,1,1,1,1,100,10,0,53
54965,1,1,10,1,1,1,1,0,27
3102,1,10,10,1,1,1,1,2,19
33297,10,10,10,1,10,10,1,1,22
3928,1,1,10,1,1,1,1,2,32
16740,10,1,100,10,1000,10,10,0,56
36368,10,1,1,1,10,10,1,0,32
13945,10,1,10,1,10,10,1,1,26
19891,1,1,10,1,1000,10,10,0,37
41513,1,1,1,1,10,10,1,0,26
16809,10,1,1,1,10,10,1,1,32
13987,1,10,1,1,1,1,1,0,41
8618,1,1,1,1,10,10,1,0,24
6293,1,1,100,1,1,1,10,0,32
19250,1,1,1,1,1,1,1,0,49
34142,1,1,100,1,1,100,1000000,2,56
2745,1,1,1,1,1,1,1,2,28
16348,10,1,100,1,1000,10,1,2,26
1846,1,1,1,1,1,100,1,1,43
44829,1,10,10,1,1,1,1,0,25
9144,1,1,1,1,1,1,1,0,22
5793,1,10,1,1,1,1,1,0,37
33917,1,1,10,1,1,1,1,0,19
7941,1,1,1,1,1,1,1,0,48
41817,1,1,1,1,10,10,1,0,35
25773,1,10,10,1,1,1,1,0,28
2093,1,10,1000,1,1,1,1,0,25
20481,1,1,10,1,10,10,1,0,39
16462,1,1,1,1,10,10,10000,0,54
1416,1,1,1,1,1,1,1,0,27
26869,10,10,10,1,10,10,1000,0,40
30843,1,1,1,1,10,10,1,0,29
23560,1,1,1,1,1,1,1,1,20
18894,1,10,1,1,10,10,1,0,31
27322,10,10,100,1,1000,10,1,0,39
38775,10,1,100,1,10,10,1000,0,52
25568,10,1,1,1,10,10,1,0,20
12420,1,1,10,1,1,100,1,2,20
9076,1,1,10,1,1,1,1,1,43
32183,1,10,1,1,1,1,1,2,29
13636,1,10,10,1,1,1,10,0,23
36709,1,1,1,1,1,1,10000,0,47
4185,1,1,1,1,1,1,1,0,46
49596,1,1,10,1,1,1,1,0,31
22881,1,1,10,1,1,1,1,1,28
52332,1,1,1,1,1,100,1000,0,48
57857,1,1,10,1,1,1,1,1,24
47182,10,1,10,1,10,10,1,0,59
25571,1,1,10,1,1,1,1,0,18
14128,1,1,1,1,1,1,1,1,20
44441,1,10,1,1,10,10,1,1,30
7662,1,1,10,1,1,100,10,0,47
21369,10,10,10,1,1000,10,1,0,34
60446,1,1,100,1,1,1,1,0,25
57432,1,1,100,1,1,1,10,0,34
12049,10,1,100,10,1000,10,10,0,33
43648,1,1,1,1,1,1,1,0,21
16906,1,1,1,1,1,100,1,0,34
23821,1,10,10,1,1,1,1000,0,53
24485,1,1,10,1,1,1,1,0,23
26717,1000,10,1,1,1,100,1,1,45
50333,1,10,1,1,10,10,1,0,38
42785,1,1,1,1,1,1,10,0,47
26874,10,10,1,1,10,10,1,0,56
51324,1,1,10,1,1,1,100,0,36
48477,10,1,10,1,10,10,1,0,31
35686,1,1,1,1,1,1,1,0,25
4633,1,1,10,1,1,1,1,1,21
43174,10,1,100,1,10,10,1,0,48
51289,1,10,1,1,1,1,10,0,27
22910,1,1,10,1,1,1,1,0,22
18785,1,1,10,1,1,1,1,0,20
18457,1,1,1,1,1,1,1,0,24
44217,1,1,10,1,1,1,1,0,48
34732,1,1,10,1,1,1,1,2,46
16892,10,1,100,1,10,10,1,0,32
46665,1,1,1,1,1,100,10,0,49
53836,10,1,10,1,10,10,10,1,34
6056,10,1,100,1,1000,10,10,0,38
39364,1,1,10,1,1,1,1,2,18
24501,10,1,1,1,10,10,1,0,36
47938,1,1,10,1,1,1,1,0,65
8204,10,1,1,1,10,10,10,0,34
28754,10,1,1,1,10,10,1000,0,43
9758,1,1,10,1,1,1,1,0,26
15856,10,10,10,1,1000,10,1,0,38
12297,1,10,1,1,1,1,1,1,18
32319,1,1,10,1,10,10,1,0,29
11726,1,1,10,1,1,1,100,0,27
14994,1,10,1,1,1,1,1,0,32
51057,1,1,1,1,1,1,10,0,27
40791,1,1,10,1,1,1,1,1,22
13294,10,1,1,1,10,10,1,0,29
42240,10,1,10,1,1,100,1,1,59
14839,1,10,1,1,1,1,1,1,50
11895,1,1,10,1,1,1,1,0,37
13774,1,1,1,1,10,10,1000,1,60
35813,1,1,10,1,1,1,1,0,20
48954,1,1,100,1,1,1,1,1,19
6576,1,1,1000,1,1,1,1,0,34
37887,10,1,100,1,10,10,10,0,48
23295,1,1,10,1,1,1,1,0,35
3553,1,1,1,1,1,1,1,2,24
11522,1,1,10,1,1,1,1,1,19
8166,1,1,10,1,1,1,1,2,22
6525,10,1,100,1,1000,10,1,0,31
26094,1,1,1,1,1,1,10,0,54
55611,1,1,1,1,10,10,10000,0,49
49905,1,1,1,1,1,1,1,0,27
29879,1,1,100,1,1,1,1,0,21
60019,1,10,10,1,1,1,1,1,33
53034,10,10,1000000,1,10,10,1,1,37
19110,1,1,100,1,1,1,1,0,34
6319,10,1,10,1,10,10,1,0,42
57584,10,1,1,1,10,10,1,0,21
57758,1,1,1,1,1,1,1,0,19
21949,10,1,1,1,10,10,1000,0,42
35641,1,1,10,1,1,1,1,1,25
23548,1,1,1,1,1,1,1,0,46
16330,1,1,10,1,1,1,1000,1,51
40165,1,1,1,1,1,100,1,0,41
52140,1,1,1,1,1,100,1,1,23
44876,10,1,10,1,10,10,1000,1,57
7924,1,1,1,1,1,100,10,0,59
